encoder,depth,n_probes,budgeted,recall,recall_stderr,scan_mean,scan_p50,scan_p95,scan_max,n_ranges
hilbert-pca4-b15,5,160,1,0.0285,0.0045,0.00075,0.0005,0.00228,0.00363,5.55
hilbert-pca4-b15,5,400,1,0.0285,0.0045,0.00075,0.0005,0.00228,0.00363,5.55
morton-pca4-b15,1,1,0,0.449,0.0197,0.06674,0.06588,0.091,0.091,1.0
morton-pca4-b15,1,2,0,0.6615,0.0201,0.12918,0.13287,0.16875,0.16875,1.7
morton-pca4-b15,1,4,0,0.8255,0.0147,0.24961,0.24713,0.28188,0.29925,2.91
morton-pca4-b15,1,8,0,0.9485,0.0071,0.49508,0.49325,0.52971,0.54763,3.94
morton-pca4-b15,1,16,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
morton-pca4-b15,1,32,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
morton-pca4-b15,1,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
morton-pca4-b15,1,40,1,0.043,0.0061,0.005,0.005,0.005,0.005,1.0
morton-pca4-b15,1,80,1,0.082,0.0087,0.01,0.01,0.01,0.01,1.0
morton-pca4-b15,1,160,1,0.1605,0.0124,0.02,0.02,0.02,0.02,1.0
morton-pca4-b15,1,400,1,0.3555,0.018,0.05,0.05,0.05,0.05,1.12
morton-pca4-b15,2,1,0,0.126,0.0108,0.00678,0.00562,0.01556,0.01925,1.0
morton-pca4-b15,2,2,0,0.2275,0.0164,0.01339,0.0115,0.02518,0.036,1.84
morton-pca4-b15,2,4,0,0.3325,0.0186,0.02473,0.02406,0.04612,0.05688,3.3
morton-pca4-b15,2,8,0,0.469,0.0207,0.04454,0.0445,0.06953,0.0825,5.53
morton-pca4-b15,2,16,0,0.6005,0.0195,0.07722,0.07737,0.10859,0.12587,8.1
morton-pca4-b15,2,32,0,0.739,0.0179,0.13872,0.13625,0.17851,0.19975,12.74
morton-pca4-b15,2,64,0,0.88,0.0125,0.25318,0.25006,0.30513,0.3275,23.54
morton-pca4-b15,2,40,1,0.103,0.0083,0.005,0.005,0.005,0.005,1.49
morton-pca4-b15,2,80,1,0.182,0.0119,0.01,0.01,0.01,0.01,2.19
morton-pca4-b15,2,160,1,0.289,0.0158,0.02,0.02,0.02,0.02,3.52
morton-pca4-b15,2,400,1,0.4925,0.0194,0.05,0.05,0.05,0.05,6.57
morton-pca4-b15,3,1,0,0.024,0.0044,0.00066,0.00038,0.00201,0.003,1.0
morton-pca4-b15,3,2,0,0.045,0.0069,0.00132,0.00088,0.00363,0.0065,1.87
morton-pca4-b15,3,4,0,0.071,0.0088,0.00244,0.00175,0.00675,0.0115,3.42
morton-pca4-b15,3,8,0,0.107,0.0104,0.00455,0.0035,0.01189,0.017,6.27
morton-pca4-b15,3,16,0,0.1645,0.0137,0.00818,0.00688,0.01888,0.0235,10.58
morton-pca4-b15,3,32,0,0.2535,0.0166,0.01459,0.01275,0.03091,0.03837,17.06
morton-pca4-b15,3,64,0,0.3715,0.0193,0.02618,0.02513,0.04864,0.05563,29.12
morton-pca4-b15,3,40,1,0.1145,0.0094,0.005,0.005,0.005,0.005,8.57
morton-pca4-b15,3,80,1,0.1915,0.0122,0.01,0.01,0.01,0.01,14.91
morton-pca4-b15,3,160,1,0.311,0.017,0.02,0.02,0.02,0.02,26.11
morton-pca4-b15,3,400,1,0.5225,0.0193,0.04929,0.05,0.05,0.05,55.21
morton-pca4-b15,4,1,0,0.003,0.0014,6e-05,0.0,0.00038,0.00063,1.0
morton-pca4-b15,4,2,0,0.007,0.0024,0.00011,0.0,0.0005,0.001,1.86
morton-pca4-b15,4,4,0,0.0125,0.003,0.00021,0.00013,0.00076,0.00125,3.48
morton-pca4-b15,4,8,0,0.0195,0.0039,0.00041,0.00025,0.0015,0.002,6.2
morton-pca4-b15,4,16,0,0.032,0.0052,0.00074,0.0005,0.00251,0.00337,10.76
morton-pca4-b15,4,32,0,0.0485,0.0066,0.00139,0.001,0.00414,0.00688,18.23
morton-pca4-b15,4,64,0,0.0755,0.0094,0.00258,0.00194,0.00763,0.01188,31.84
morton-pca4-b15,4,40,1,0.111,0.0095,0.00441,0.005,0.005,0.005,23.94
morton-pca4-b15,4,80,1,0.159,0.0122,0.00674,0.00681,0.01,0.01,34.12
morton-pca4-b15,4,160,1,0.1805,0.0138,0.00826,0.00681,0.01963,0.02,39.49
morton-pca4-b15,4,400,1,0.182,0.014,0.00841,0.00681,0.01963,0.02612,40.01
morton-pca4-b15,5,1,0,0.0005,0.0005,1e-05,0.0,0.0,0.00013,1.0
morton-pca4-b15,5,2,0,0.0005,0.0005,1e-05,0.0,0.00013,0.00025,1.86
morton-pca4-b15,5,4,0,0.001,0.0007,2e-05,0.0,0.00013,0.00025,3.45
morton-pca4-b15,5,8,0,0.0025,0.0013,3e-05,0.0,0.00013,0.0005,6.11
morton-pca4-b15,5,16,0,0.004,0.0016,6e-05,0.0,0.00025,0.00075,11.06
morton-pca4-b15,5,32,0,0.008,0.0024,0.00011,0.0,0.00038,0.001,19.25
morton-pca4-b15,5,64,0,0.013,0.003,0.00022,0.00013,0.00088,0.00137,32.84
morton-pca4-b15,5,40,1,0.0285,0.0045,0.00075,0.0005,0.00228,0.00363,5.57
morton-pca4-b15,5,80,1,0.0285,0.0045,0.00075,0.0005,0.00228,0.00363,5.57
morton-pca4-b15,5,160,1,0.0285,0.0045,0.00075,0.0005,0.00228,0.00363,5.57
morton-pca4-b15,5,400,1,0.0285,0.0045,0.00075,0.0005,0.00228,0.00363,5.57
hilbert-rp2-s0-b30,2,1,0,0.141,0.0093,0.06334,0.06294,0.07963,0.07963,1.0
hilbert-rp2-s0-b30,2,2,0,0.2515,0.0128,0.12666,0.12637,0.14713,0.14713,1.38
hilbert-rp2-s0-b30,2,4,0,0.4255,0.0158,0.25387,0.258,0.27088,0.27337,1.61
hilbert-rp2-s0-b30,2,8,0,0.7065,0.0157,0.50276,0.50113,0.51938,0.52225,2.12
hilbert-rp2-s0-b30,2,16,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s0-b30,2,32,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s0-b30,2,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s0-b30,2,40,1,0.016,0.0029,0.005,0.005,0.005,0.005,1.0
hilbert-rp2-s0-b30,2,80,1,0.0255,0.0037,0.01,0.01,0.01,0.01,1.0
hilbert-rp2-s0-b30,2,160,1,0.0435,0.005,0.02,0.02,0.02,0.02,1.0
hilbert-rp2-s0-b30,2,400,1,0.112,0.0078,0.05,0.05,0.05,0.05,1.0
hilbert-rp2-s0-b30,3,1,0,0.04,0.0048,0.01599,0.01575,0.021,0.02287,1.0
hilbert-rp2-s0-b30,3,2,0,0.08,0.0072,0.03198,0.03175,0.04,0.04387,1.46
hilbert-rp2-s0-b30,3,4,0,0.1385,0.0096,0.06395,0.06388,0.07963,0.08125,1.86
hilbert-rp2-s0-b30,3,8,0,0.2435,0.0129,0.12695,0.12806,0.14538,0.14713,2.5
hilbert-rp2-s0-b30,3,16,0,0.4495,0.0158,0.25321,0.25644,0.27225,0.279,3.08
hilbert-rp2-s0-b30,3,32,0,0.728,0.0156,0.50351,0.50881,0.51515,0.51963,4.14
hilbert-rp2-s0-b30,3,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s0-b30,3,40,1,0.013,0.0027,0.005,0.005,0.005,0.005,1.0
hilbert-rp2-s0-b30,3,80,1,0.0255,0.0037,0.01,0.01,0.01,0.01,1.0
hilbert-rp2-s0-b30,3,160,1,0.0485,0.0051,0.02,0.02,0.02,0.02,1.46
hilbert-rp2-s0-b30,3,400,1,0.1095,0.0086,0.05,0.05,0.05,0.05,1.9
hilbert-rp2-s0-b30,4,1,0,0.01,0.0025,0.00391,0.00387,0.00526,0.0075,1.0
hilbert-rp2-s0-b30,4,2,0,0.022,0.0036,0.00796,0.00775,0.01027,0.013,1.52
hilbert-rp2-s0-b30,4,4,0,0.0355,0.0044,0.01596,0.01588,0.02041,0.024,2.1
hilbert-rp2-s0-b30,4,8,0,0.073,0.007,0.03215,0.03169,0.03963,0.04387,2.77
hilbert-rp2-s0-b30,4,16,0,0.1345,0.0094,0.06398,0.06394,0.07876,0.08325,3.87
hilbert-rp2-s0-b30,4,32,0,0.2415,0.012,0.12687,0.12725,0.14575,0.14738,5.46
hilbert-rp2-s0-b30,4,64,0,0.444,0.0158,0.25315,0.255,0.27375,0.27587,6.17
hilbert-rp2-s0-b30,4,40,1,0.013,0.0027,0.005,0.005,0.005,0.005,1.49
hilbert-rp2-s0-b30,4,80,1,0.023,0.0036,0.01,0.01,0.01,0.01,1.9
hilbert-rp2-s0-b30,4,160,1,0.043,0.0049,0.02,0.02,0.02,0.02,2.54
hilbert-rp2-s0-b30,4,400,1,0.104,0.0082,0.05,0.05,0.05,0.05,3.67
hilbert-rp2-s0-b30,5,1,0,0.002,0.001,0.00094,0.00088,0.0015,0.00225,1.0
hilbert-rp2-s0-b30,5,2,0,0.0035,0.0013,0.00195,0.002,0.00288,0.00363,1.42
hilbert-rp2-s0-b30,5,4,0,0.008,0.0022,0.00393,0.00387,0.0055,0.0075,2.08
hilbert-rp2-s0-b30,5,8,0,0.0225,0.0036,0.00798,0.00775,0.01025,0.0135,3.0
hilbert-rp2-s0-b30,5,16,0,0.039,0.0047,0.01604,0.01575,0.02026,0.02463,4.28
hilbert-rp2-s0-b30,5,32,0,0.0715,0.007,0.03193,0.03169,0.03964,0.04337,5.91
hilbert-rp2-s0-b30,5,64,0,0.129,0.0088,0.06381,0.06356,0.07727,0.08425,7.66
hilbert-rp2-s0-b30,5,40,1,0.0115,0.0025,0.005,0.005,0.005,0.005,2.57
hilbert-rp2-s0-b30,5,80,1,0.0285,0.004,0.01,0.01,0.01,0.01,3.63
hilbert-rp2-s0-b30,5,160,1,0.045,0.0052,0.02,0.02,0.02,0.02,4.82
hilbert-rp2-s0-b30,5,400,1,0.1065,0.0082,0.05,0.05,0.05,0.05,7.37
hilbert-rp2-s0-b30,6,1,0,0.001,0.0007,0.00023,0.00019,0.00063,0.00088,1.0
hilbert-rp2-s0-b30,6,2,0,0.001,0.0007,0.00049,0.00044,0.001,0.0015,1.5
hilbert-rp2-s0-b30,6,4,0,0.0015,0.0009,0.00099,0.001,0.00162,0.002,2.12
hilbert-rp2-s0-b30,6,8,0,0.003,0.0012,0.00194,0.00194,0.00276,0.00375,2.92
hilbert-rp2-s0-b30,6,16,0,0.0095,0.0023,0.00396,0.00387,0.00537,0.007,4.45
hilbert-rp2-s0-b30,6,32,0,0.0225,0.0036,0.00798,0.00788,0.01038,0.01275,6.13
hilbert-rp2-s0-b30,6,64,0,0.041,0.0047,0.01606,0.01575,0.02002,0.02312,8.35
hilbert-rp2-s0-b30,6,40,1,0.0115,0.0025,0.005,0.005,0.005,0.005,6.39
hilbert-rp2-s0-b30,6,80,1,0.0265,0.0038,0.01,0.01,0.01,0.01,10.13
hilbert-rp2-s0-b30,6,160,1,0.047,0.0053,0.02,0.02,0.02,0.02,16.58
hilbert-rp2-s0-b30,6,400,1,0.1065,0.0081,0.04988,0.05,0.05,0.05,33.91
hilbert-rp2-s0-b30,7,1,0,0.0005,0.0005,6e-05,0.0,0.00025,0.00038,1.0
hilbert-rp2-s0-b30,7,2,0,0.0005,0.0005,0.00013,0.00013,0.00038,0.00063,1.53
hilbert-rp2-s0-b30,7,4,0,0.0005,0.0005,0.00025,0.00025,0.00063,0.00088,2.23
hilbert-rp2-s0-b30,7,8,0,0.001,0.0007,0.00051,0.0005,0.001,0.0015,3.0
hilbert-rp2-s0-b30,7,16,0,0.001,0.0007,0.00099,0.001,0.00162,0.00237,4.37
hilbert-rp2-s0-b30,7,32,0,0.0035,0.0013,0.00194,0.002,0.00276,0.00337,6.3
hilbert-rp2-s0-b30,7,64,0,0.0105,0.0024,0.00394,0.00387,0.00538,0.00725,8.86
hilbert-rp2-s0-b30,7,40,1,0.0125,0.0025,0.005,0.005,0.005,0.005,20.92
hilbert-rp2-s0-b30,7,80,1,0.0255,0.0037,0.00998,0.01,0.01,0.01,40.51
hilbert-rp2-s0-b30,7,160,1,0.0405,0.0048,0.01597,0.01588,0.02,0.02,62.97
hilbert-rp2-s0-b30,7,400,1,0.0405,0.0048,0.01606,0.01588,0.02001,0.02375,63.24
hilbert-rp2-s0-b30,8,1,0,0.0005,0.0005,2e-05,0.0,0.00013,0.00025,1.0
hilbert-rp2-s0-b30,8,2,0,0.0005,0.0005,4e-05,0.0,0.00013,0.00038,1.55
hilbert-rp2-s0-b30,8,4,0,0.0005,0.0005,7e-05,0.0,0.00025,0.0005,2.19
hilbert-rp2-s0-b30,8,8,0,0.0005,0.0005,0.00013,0.00013,0.00038,0.00063,3.04
hilbert-rp2-s0-b30,8,16,0,0.001,0.0007,0.00026,0.00025,0.00063,0.00088,4.55
hilbert-rp2-s0-b30,8,32,0,0.001,0.0007,0.00051,0.0005,0.001,0.0015,6.4
hilbert-rp2-s0-b30,8,64,0,0.0015,0.0009,0.00098,0.001,0.00151,0.00225,8.88
hilbert-rp2-s0-b30,8,40,1,0.0105,0.0024,0.00389,0.00387,0.005,0.005,26.25
hilbert-rp2-s0-b30,8,80,1,0.0105,0.0024,0.00395,0.00387,0.0055,0.00675,26.58
hilbert-rp2-s0-b30,8,160,1,0.0105,0.0024,0.00395,0.00387,0.0055,0.00675,26.58
hilbert-rp2-s0-b30,8,400,1,0.0105,0.0024,0.00395,0.00387,0.0055,0.00675,26.58
hilbert-rp2-s0-b30,10,1,0,0.0005,0.0005,0.0,0.0,0.0,0.00013,1.0
hilbert-rp2-s0-b30,10,2,0,0.0005,0.0005,0.0,0.0,0.0,0.00013,1.48
hilbert-rp2-s0-b30,10,4,0,0.0005,0.0005,1e-05,0.0,0.00013,0.00013,2.12
hilbert-rp2-s0-b30,10,8,0,0.0005,0.0005,1e-05,0.0,0.00013,0.00025,2.96
hilbert-rp2-s0-b30,10,16,0,0.0005,0.0005,2e-05,0.0,0.00013,0.00025,4.4
hilbert-rp2-s0-b30,10,32,0,0.0005,0.0005,4e-05,0.0,0.00013,0.00025,6.31
hilbert-rp2-s0-b30,10,64,0,0.0005,0.0005,6e-05,0.0,0.00025,0.00038,8.82
hilbert-rp2-s0-b30,10,40,1,0.001,0.0007,0.00027,0.00025,0.00063,0.00088,2.1
hilbert-rp2-s0-b30,10,80,1,0.001,0.0007,0.00027,0.00025,0.00063,0.00088,2.1
hilbert-rp2-s0-b30,10,160,1,0.001,0.0007,0.00027,0.00025,0.00063,0.00088,2.1
hilbert-rp2-s0-b30,10,400,1,0.001,0.0007,0.00027,0.00025,0.00063,0.00088,2.1
hilbert-rp2-s1-b30,2,1,0,0.168,0.0118,0.06279,0.06288,0.06925,0.06925,1.0
hilbert-rp2-s1-b30,2,2,0,0.2965,0.0158,0.12527,0.12462,0.13462,0.13462,1.31
hilbert-rp2-s1-b30,2,4,0,0.473,0.017,0.25041,0.25144,0.256,0.25625,1.57
hilbert-rp2-s1-b30,2,8,0,0.7555,0.0136,0.49965,0.49988,0.50887,0.50887,2.23
hilbert-rp2-s1-b30,2,16,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s1-b30,2,32,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s1-b30,2,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s1-b30,2,40,1,0.0125,0.0025,0.005,0.005,0.005,0.005,1.0
hilbert-rp2-s1-b30,2,80,1,0.028,0.0041,0.01,0.01,0.01,0.01,1.0
hilbert-rp2-s1-b30,2,160,1,0.0595,0.0059,0.02,0.02,0.02,0.02,1.0
hilbert-rp2-s1-b30,2,400,1,0.138,0.0103,0.05,0.05,0.05,0.05,1.0
hilbert-rp2-s1-b30,3,1,0,0.0505,0.0058,0.01586,0.01562,0.019,0.02025,1.0
hilbert-rp2-s1-b30,3,2,0,0.1005,0.009,0.03134,0.03125,0.03463,0.03925,1.48
hilbert-rp2-s1-b30,3,4,0,0.1755,0.0117,0.06268,0.0625,0.06925,0.0705,1.86
hilbert-rp2-s1-b30,3,8,0,0.3035,0.016,0.12533,0.12575,0.1325,0.13462,2.54
hilbert-rp2-s1-b30,3,16,0,0.4875,0.0173,0.25046,0.25075,0.25589,0.2575,2.99
hilbert-rp2-s1-b30,3,32,0,0.75,0.0139,0.50006,0.5,0.50801,0.51025,4.25
hilbert-rp2-s1-b30,3,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s1-b30,3,40,1,0.0155,0.0028,0.005,0.005,0.005,0.005,1.0
hilbert-rp2-s1-b30,3,80,1,0.0315,0.0046,0.01,0.01,0.01,0.01,1.0
hilbert-rp2-s1-b30,3,160,1,0.0635,0.0067,0.02,0.02,0.02,0.02,1.44
hilbert-rp2-s1-b30,3,400,1,0.1465,0.011,0.05,0.05,0.05,0.05,1.91
hilbert-rp2-s1-b30,4,1,0,0.016,0.0028,0.00403,0.00387,0.0055,0.00675,1.0
hilbert-rp2-s1-b30,4,2,0,0.03,0.0043,0.00792,0.00775,0.01,0.01238,1.47
hilbert-rp2-s1-b30,4,4,0,0.054,0.0058,0.0158,0.01562,0.01875,0.02025,2.02
hilbert-rp2-s1-b30,4,8,0,0.0975,0.0089,0.03147,0.03125,0.03489,0.03787,2.77
hilbert-rp2-s1-b30,4,16,0,0.18,0.0125,0.06284,0.063,0.0685,0.07013,3.83
hilbert-rp2-s1-b30,4,32,0,0.301,0.0155,0.1253,0.12575,0.13276,0.13462,5.3
hilbert-rp2-s1-b30,4,64,0,0.4865,0.0172,0.25022,0.25,0.25601,0.258,6.04
hilbert-rp2-s1-b30,4,40,1,0.0185,0.0032,0.005,0.005,0.005,0.005,1.42
hilbert-rp2-s1-b30,4,80,1,0.036,0.0047,0.01,0.01,0.01,0.01,1.88
hilbert-rp2-s1-b30,4,160,1,0.0665,0.0066,0.02,0.02,0.02,0.02,2.48
hilbert-rp2-s1-b30,4,400,1,0.149,0.0109,0.05,0.05,0.05,0.05,3.58
hilbert-rp2-s1-b30,5,1,0,0.0025,0.0011,0.00106,0.001,0.00175,0.00237,1.0
hilbert-rp2-s1-b30,5,2,0,0.0055,0.0016,0.00203,0.002,0.00313,0.00438,1.52
hilbert-rp2-s1-b30,5,4,0,0.013,0.0026,0.00403,0.004,0.00538,0.007,2.13
hilbert-rp2-s1-b30,5,8,0,0.0245,0.0036,0.00796,0.00788,0.00988,0.01238,2.83
hilbert-rp2-s1-b30,5,16,0,0.0545,0.0061,0.01581,0.01556,0.01888,0.02025,4.25
hilbert-rp2-s1-b30,5,32,0,0.095,0.0084,0.03142,0.03138,0.0345,0.038,5.74
hilbert-rp2-s1-b30,5,64,0,0.1805,0.0125,0.06276,0.06288,0.06775,0.0705,7.62
hilbert-rp2-s1-b30,5,40,1,0.0165,0.0029,0.005,0.005,0.005,0.005,2.52
hilbert-rp2-s1-b30,5,80,1,0.0335,0.0048,0.01,0.01,0.01,0.01,3.45
hilbert-rp2-s1-b30,5,160,1,0.0685,0.0071,0.02,0.02,0.02,0.02,4.83
hilbert-rp2-s1-b30,5,400,1,0.148,0.011,0.05,0.05,0.05,0.05,7.18
hilbert-rp2-s1-b30,6,1,0,0.001,0.0007,0.00027,0.00025,0.00063,0.00088,1.0
hilbert-rp2-s1-b30,6,2,0,0.001,0.0007,0.00049,0.00038,0.001,0.0015,1.46
hilbert-rp2-s1-b30,6,4,0,0.0015,0.0009,0.00099,0.001,0.00162,0.00213,2.11
hilbert-rp2-s1-b30,6,8,0,0.005,0.0015,0.00202,0.002,0.00276,0.00363,2.89
hilbert-rp2-s1-b30,6,16,0,0.012,0.0024,0.00403,0.00394,0.00538,0.00675,4.43
hilbert-rp2-s1-b30,6,32,0,0.027,0.0039,0.00797,0.00788,0.00988,0.01213,5.86
hilbert-rp2-s1-b30,6,64,0,0.0545,0.0062,0.01581,0.01562,0.01888,0.02025,8.29
hilbert-rp2-s1-b30,6,40,1,0.0155,0.0029,0.005,0.005,0.005,0.005,6.29
hilbert-rp2-s1-b30,6,80,1,0.034,0.0048,0.01,0.01,0.01,0.01,10.2
hilbert-rp2-s1-b30,6,160,1,0.067,0.0067,0.02,0.02,0.02,0.02,16.75
hilbert-rp2-s1-b30,6,400,1,0.147,0.0108,0.05,0.05,0.05,0.05,35.54
hilbert-rp2-s1-b30,7,1,0,0.0005,0.0005,7e-05,0.0,0.00025,0.00038,1.0
hilbert-rp2-s1-b30,7,2,0,0.0005,0.0005,0.00014,0.00013,0.00038,0.00063,1.45
hilbert-rp2-s1-b30,7,4,0,0.0005,0.0005,0.00024,0.00025,0.0005,0.00088,2.0
hilbert-rp2-s1-b30,7,8,0,0.001,0.0007,0.00049,0.0005,0.001,0.00125,2.9
hilbert-rp2-s1-b30,7,16,0,0.002,0.001,0.00102,0.001,0.00175,0.00225,4.47
hilbert-rp2-s1-b30,7,32,0,0.005,0.0015,0.00203,0.002,0.00287,0.00425,5.86
hilbert-rp2-s1-b30,7,64,0,0.011,0.0023,0.00405,0.004,0.00525,0.00688,8.69
hilbert-rp2-s1-b30,7,40,1,0.015,0.003,0.005,0.005,0.005,0.005,21.24
hilbert-rp2-s1-b30,7,80,1,0.035,0.0048,0.01,0.01,0.01,0.01,41.16
hilbert-rp2-s1-b30,7,160,1,0.055,0.0061,0.01584,0.01562,0.01889,0.01963,63.87
hilbert-rp2-s1-b30,7,400,1,0.055,0.0061,0.01584,0.01562,0.01889,0.01963,63.87
hilbert-rp2-s1-b30,8,1,0,0.0005,0.0005,2e-05,0.0,0.00013,0.00025,1.0
hilbert-rp2-s1-b30,8,2,0,0.0005,0.0005,4e-05,0.0,0.00013,0.00025,1.54
hilbert-rp2-s1-b30,8,4,0,0.0005,0.0005,8e-05,6e-05,0.00025,0.00038,2.25
hilbert-rp2-s1-b30,8,8,0,0.0005,0.0005,0.00013,0.00013,0.00038,0.00075,2.88
hilbert-rp2-s1-b30,8,16,0,0.0005,0.0005,0.00024,0.00025,0.00063,0.00088,4.2
hilbert-rp2-s1-b30,8,32,0,0.0015,0.0009,0.00049,0.0005,0.001,0.00125,6.3
hilbert-rp2-s1-b30,8,64,0,0.0025,0.0011,0.00102,0.001,0.00162,0.00213,8.74
hilbert-rp2-s1-b30,8,40,1,0.011,0.0023,0.00397,0.00387,0.005,0.005,26.64
hilbert-rp2-s1-b30,8,80,1,0.011,0.0023,0.00403,0.00387,0.00513,0.00688,26.97
hilbert-rp2-s1-b30,8,160,1,0.011,0.0023,0.00403,0.00387,0.00513,0.00688,26.97
hilbert-rp2-s1-b30,8,400,1,0.011,0.0023,0.00403,0.00387,0.00513,0.00688,26.97
hilbert-rp2-s1-b30,10,1,0,0.0005,0.0005,0.0,0.0,0.0,0.00013,1.0
hilbert-rp2-s1-b30,10,2,0,0.0005,0.0005,0.0,0.0,0.0,0.00013,1.46
hilbert-rp2-s1-b30,10,4,0,0.0005,0.0005,1e-05,0.0,1e-05,0.00013,2.0
hilbert-rp2-s1-b30,10,8,0,0.0005,0.0005,1e-05,0.0,0.00013,0.00025,2.98
hilbert-rp2-s1-b30,10,16,0,0.0005,0.0005,2e-05,0.0,0.00013,0.00025,4.58
hilbert-rp2-s1-b30,10,32,0,0.0005,0.0005,4e-05,0.0,0.00013,0.00038,6.24
hilbert-rp2-s1-b30,10,64,0,0.0005,0.0005,7e-05,0.0,0.00025,0.00038,9.03
hilbert-rp2-s1-b30,10,40,1,0.001,0.0007,0.00024,0.00025,0.00051,0.00075,1.88
hilbert-rp2-s1-b30,10,80,1,0.001,0.0007,0.00024,0.00025,0.00051,0.00075,1.88
hilbert-rp2-s1-b30,10,160,1,0.001,0.0007,0.00024,0.00025,0.00051,0.00075,1.88
hilbert-rp2-s1-b30,10,400,1,0.001,0.0007,0.00024,0.00025,0.00051,0.00075,1.88
hilbert-rp2-s2-b30,2,1,0,0.1295,0.0092,0.06251,0.06263,0.06463,0.06463,1.0
hilbert-rp2-s2-b30,2,2,0,0.238,0.0133,0.12498,0.12487,0.128,0.128,1.32
hilbert-rp2-s2-b30,2,4,0,0.428,0.0162,0.25003,0.24963,0.254,0.254,1.61
hilbert-rp2-s2-b30,2,8,0,0.706,0.0146,0.49983,0.50025,0.50213,0.50287,2.22
hilbert-rp2-s2-b30,2,16,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s2-b30,2,32,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s2-b30,2,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s2-b30,2,40,1,0.0095,0.0022,0.005,0.005,0.005,0.005,1.0
hilbert-rp2-s2-b30,2,80,1,0.021,0.0031,0.01,0.01,0.01,0.01,1.0
hilbert-rp2-s2-b30,2,160,1,0.0405,0.0049,0.02,0.02,0.02,0.02,1.0
hilbert-rp2-s2-b30,2,400,1,0.1055,0.0082,0.05,0.05,0.05,0.05,1.0
hilbert-rp2-s2-b30,3,1,0,0.0345,0.0045,0.0156,0.01562,0.01762,0.01787,1.0
hilbert-rp2-s2-b30,3,2,0,0.0655,0.0066,0.03129,0.03138,0.03338,0.03413,1.4
hilbert-rp2-s2-b30,3,4,0,0.1295,0.01,0.06246,0.06263,0.06488,0.06588,1.86
hilbert-rp2-s2-b30,3,8,0,0.244,0.0128,0.12497,0.125,0.12863,0.12962,2.44
hilbert-rp2-s2-b30,3,16,0,0.434,0.016,0.24989,0.25012,0.254,0.25575,3.19
hilbert-rp2-s2-b30,3,32,0,0.714,0.0136,0.50076,0.50094,0.50376,0.50625,4.21
hilbert-rp2-s2-b30,3,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-rp2-s2-b30,3,40,1,0.0125,0.0024,0.005,0.005,0.005,0.005,1.0
hilbert-rp2-s2-b30,3,80,1,0.02,0.0032,0.01,0.01,0.01,0.01,1.0
hilbert-rp2-s2-b30,3,160,1,0.044,0.0052,0.02,0.02,0.02,0.02,1.4
hilbert-rp2-s2-b30,3,400,1,0.107,0.0087,0.05,0.05,0.05,0.05,1.86
hilbert-rp2-s2-b30,4,1,0,0.007,0.0022,0.00392,0.00387,0.00487,0.00575,1.0
hilbert-rp2-s2-b30,4,2,0,0.0135,0.0027,0.00778,0.00775,0.00926,0.01,1.44
hilbert-rp2-s2-b30,4,4,0,0.0345,0.0046,0.01553,0.01562,0.01762,0.018,1.96
hilbert-rp2-s2-b30,4,8,0,0.067,0.0063,0.03121,0.03125,0.03375,0.03463,2.65
hilbert-rp2-s2-b30,4,16,0,0.132,0.0096,0.06262,0.06263,0.06588,0.0665,3.77
hilbert-rp2-s2-b30,4,32,0,0.2495,0.0131,0.1249,0.12512,0.12825,0.13112,5.15
hilbert-rp2-s2-b30,4,64,0,0.4355,0.0157,0.24967,0.24975,0.25375,0.25538,6.12
hilbert-rp2-s2-b30,4,40,1,0.0085,0.0023,0.005,0.005,0.005,0.005,1.42
hilbert-rp2-s2-b30,4,80,1,0.0165,0.0033,0.01,0.01,0.01,0.01,1.88
hilbert-rp2-s2-b30,4,160,1,0.0465,0.0052,0.02,0.02,0.02,0.02,2.37
hilbert-rp2-s2-b30,4,400,1,0.107,0.0087,0.05,0.05,0.05,0.05,3.48
hilbert-rp2-s2-b30,5,1,0,0.003,0.0012,0.00095,0.001,0.00137,0.00187,1.0
hilbert-rp2-s2-b30,5,2,0,0.006,0.0017,0.00191,0.00187,0.00263,0.00325,1.46
hilbert-rp2-s2-b30,5,4,0,0.009,0.0024,0.00386,0.00387,0.00488,0.0055,2.12
