encoder,depth,n_probes,budgeted,recall,recall_stderr,scan_mean,scan_p50,scan_p95,scan_max,n_ranges
hilbert-pca2-b30,7,80,1,0.0835,0.0081,0.00979,0.01,0.01,0.01,33.12
hilbert-pca2-b30,7,160,1,0.135,0.01,0.01689,0.02,0.02,0.02,51.58
hilbert-pca2-b30,7,400,1,0.1745,0.0135,0.02205,0.02162,0.0429,0.05,60.74
hilbert-pca2-b30,8,1,0,0.0005,0.0005,2e-05,0.0,0.00013,0.00025,1.0
hilbert-pca2-b30,8,2,0,0.0005,0.0005,4e-05,0.0,0.00025,0.00038,1.46
hilbert-pca2-b30,8,4,0,0.0005,0.0005,9e-05,0.0,0.00025,0.00063,2.15
hilbert-pca2-b30,8,8,0,0.0035,0.0013,0.00018,0.00013,0.0005,0.00112,2.94
hilbert-pca2-b30,8,16,0,0.0055,0.0016,0.00035,0.00025,0.00088,0.00175,4.55
hilbert-pca2-b30,8,32,0,0.0105,0.0026,0.00072,0.00063,0.00162,0.00313,6.16
hilbert-pca2-b30,8,64,0,0.017,0.0034,0.00145,0.00125,0.00313,0.005,8.98
hilbert-pca2-b30,8,40,1,0.0415,0.0056,0.00423,0.005,0.005,0.005,26.25
hilbert-pca2-b30,8,80,1,0.052,0.0067,0.00551,0.00525,0.01,0.01,32.97
hilbert-pca2-b30,8,160,1,0.056,0.0073,0.00575,0.00525,0.01176,0.01688,33.88
hilbert-pca2-b30,8,400,1,0.056,0.0073,0.00575,0.00525,0.01176,0.01688,33.88
hilbert-pca2-b30,10,1,0,0.0005,0.0005,0.0,0.0,0.0,0.00025,1.0
hilbert-pca2-b30,10,2,0,0.0005,0.0005,0.0,0.0,0.0,0.00025,1.46
hilbert-pca2-b30,10,4,0,0.0005,0.0005,1e-05,0.0,0.0,0.00025,2.12
hilbert-pca2-b30,10,8,0,0.0005,0.0005,1e-05,0.0,0.00013,0.00025,3.03
hilbert-pca2-b30,10,16,0,0.0005,0.0005,2e-05,0.0,0.00013,0.00025,4.64
hilbert-pca2-b30,10,32,0,0.0005,0.0005,5e-05,0.0,0.00025,0.00063,6.36
hilbert-pca2-b30,10,64,0,0.001,0.0007,9e-05,0.0,0.00026,0.00063,8.92
hilbert-pca2-b30,10,40,1,0.0055,0.0018,0.00035,0.00025,0.00075,0.00162,2.69
hilbert-pca2-b30,10,80,1,0.0055,0.0018,0.00035,0.00025,0.00075,0.00162,2.69
hilbert-pca2-b30,10,160,1,0.0055,0.0018,0.00035,0.00025,0.00075,0.00162,2.69
hilbert-pca2-b30,10,400,1,0.0055,0.0018,0.00035,0.00025,0.00075,0.00162,2.69
morton-pca2-b30,2,1,0,0.38,0.0186,0.07611,0.07863,0.126,0.126,1.0
morton-pca2-b30,2,2,0,0.5845,0.0212,0.14226,0.1415,0.186,0.186,1.65
morton-pca2-b30,2,4,0,0.767,0.0177,0.25973,0.2705,0.324,0.324,1.78
morton-pca2-b30,2,8,0,0.927,0.0098,0.49113,0.48488,0.58625,0.59475,2.95
morton-pca2-b30,2,16,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
morton-pca2-b30,2,32,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
morton-pca2-b30,2,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
morton-pca2-b30,2,40,1,0.0355,0.0055,0.005,0.005,0.005,0.005,1.0
morton-pca2-b30,2,80,1,0.061,0.0071,0.01,0.01,0.01,0.01,1.0
morton-pca2-b30,2,160,1,0.121,0.0107,0.02,0.02,0.02,0.02,1.0
morton-pca2-b30,2,400,1,0.2715,0.0156,0.05,0.05,0.05,0.05,1.18
morton-pca2-b30,3,1,0,0.1785,0.0139,0.02173,0.0215,0.03802,0.05038,1.0
morton-pca2-b30,3,2,0,0.283,0.0174,0.0417,0.04362,0.07525,0.07925,1.75
morton-pca2-b30,3,4,0,0.415,0.0202,0.07796,0.08069,0.126,0.126,2.31
morton-pca2-b30,3,8,0,0.617,0.0209,0.14439,0.15375,0.18688,0.1965,3.45
morton-pca2-b30,3,16,0,0.8025,0.0168,0.2638,0.2705,0.32145,0.331,4.32
morton-pca2-b30,3,32,0,0.9385,0.0082,0.49286,0.48962,0.565,0.58575,6.32
morton-pca2-b30,3,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
morton-pca2-b30,3,40,1,0.0395,0.0053,0.005,0.005,0.005,0.005,1.0
morton-pca2-b30,3,80,1,0.08,0.0079,0.01,0.01,0.01,0.01,1.07
morton-pca2-b30,3,160,1,0.149,0.0108,0.02,0.02,0.02,0.02,1.34
morton-pca2-b30,3,400,1,0.3125,0.0167,0.05,0.05,0.05,0.05,2.31
morton-pca2-b30,4,1,0,0.0545,0.007,0.00571,0.00519,0.01225,0.01688,1.0
morton-pca2-b30,4,2,0,0.101,0.0103,0.0113,0.01031,0.025,0.029,1.7
morton-pca2-b30,4,4,0,0.174,0.0137,0.02191,0.02137,0.03988,0.05038,2.4
morton-pca2-b30,4,8,0,0.297,0.0176,0.04199,0.04287,0.07525,0.0805,3.75
morton-pca2-b30,4,16,0,0.4455,0.0203,0.0789,0.08381,0.126,0.12675,5.77
morton-pca2-b30,4,32,0,0.6235,0.0202,0.14435,0.15506,0.18738,0.19287,7.72
morton-pca2-b30,4,64,0,0.802,0.0169,0.26467,0.27125,0.32212,0.32837,9.5
morton-pca2-b30,4,40,1,0.0395,0.0055,0.005,0.005,0.005,0.005,1.35
morton-pca2-b30,4,80,1,0.083,0.0079,0.01,0.01,0.01,0.01,2.0
morton-pca2-b30,4,160,1,0.1575,0.0115,0.02,0.02,0.02,0.02,2.85
